Molecule,TH2,TH4,TH5,TH7,TH1,TH3,TH6,TH8
PEP 16:0/22:6,30807.66419,6627.940099,23034.67758,7631.185795,41993.24892,23326.02307,18505.98725,22348.53132
PEP 16:1/18:1,587.9170016,710.7046268,1095.846579,1587.314056,894.9637436,1449.912449,654.2616833,2607.999569
PEP 18:0/16:0,7285.140629,9857.61838,7449.660447,7764.087972,2410.137946,10552.0985,8658.386792,10682.42847
PEP 18:0/16:1,3815.942447,2528.308917,4760.26591,3203.843223,3259.673439,1922.560985,3315.392479,3026.608971
PEP 18:0/18:0,11050.69301,12980.86801,17208.05664,12461.27469,7992.623932,9336.18778,6994.527431,15564.77033
PEP 18:0/18:1,67591.26864,35748.25052,64544.16442,28975.07911,35549.93215,54444.02459,44522.88189,40961.38104
PEP 18:0/18:2,69387.02872,53209.02499,82319.13315,25431.77731,67494.23135,66645.60813,44887.84811,53901.73609
PEP 18:0/18:3,1050.499686,237.8949879,1572.54269,726.7956426,1127.155864,981.144598,767.5860495,618.6322736
PEP 18:0/20:1,10057.42276,4212.614837,12317.55041,4961.914596,10715.76747,9829.250775,7330.194192,9838.317238
PEP 18:0/20:2,7034.950035,3582.933385,11105.93727,4114.57193,7316.733967,7478.195955,6682.625035,6016.479302
PEP 18:0/20:3,50339.09912,19112.55826,67699.17488,16444.107,44955.07581,40235.30011,33628.97862,32931.78884
PEP 18:0/20:4,487096.8946,177756.2593,661151.0893,206738.5614,646591.2839,500448.9761,397906.0178,470046.953
PEP 18:0/20:5,2571.858674,717.1258478,2282.33319,640.2907654,2704.62084,1888.871334,1503.671304,1553.241877
PEP 18:0/22:4,442013.9807,236940.7303,501315.1887,280342.8116,467984.2915,393367.4058,390571.6653,517810.7228
PEP 18:0/22:5,132060.9648,64341.50058,138419.6423,63437.16055,127433.4696,96692.95656,89528.95627,116243.7747
PEP 18:0/22:6,85561.74639,36425.56854,99606.26399,38164.1378,119603.5832,81372.66257,65734.74366,84702.21165
PEP 18:1/16:0,50848.79387,11615.57174,49501.5899,20840.69458,66947.32869,36845.80158,30333.58578,44155.79037
PEP 18:1/16:1,944.2227484,1104.271903,1101.287936,1155.539626,1086.633258,1200.421319,576.9142063,794.8869755
PEP 18:1/18:0,4458.513666,4863.480658,7041.64642,6310.511535,4522.376561,5899.85903,6042.511167,10818.91884
PEP 18:1/18:1,30039.61413,4053.1536,23307.22905,5031.603586,14871.32635,16538.00149,15190.1376,18435.66646
PEP 18:1/18:2,10032.3527,1952.408921,9508.634875,143526.0479,10137.13092,6388.635802,33592.45557,177244.3439
PEP 18:1/18:3,232.4737632,81.11205807,410.9025362,2492.487561,423.4676964,156.3678056,734.5735076,1560.181088
PEP 18:1/20:1,6166.657104,1663.212595,4420.578034,1060.022135,3675.658917,3335.471351,3945.557305,3893.027181
PEP 18:1/20:2,4474.164616,903.2787037,4899.663726,1337.231974,3607.782013,2747.620312,2573.020765,2626.351579
PEP 18:1/20:3,17070.67042,3348.781011,16185.7551,4858.632882,16838.98575,13089.381,9683.819843,12415.16697
PEP 18:1/20:4,155726.8626,34019.688,138785.2432,41955.16115,190458.9183,132304.6507,103169.0324,119380.3286
PEP 18:1/20:5,262.0941177,96.65650578,237.4627875,381.096585,375.7347038,226.0092816,251.1567159,281.6886285
PEP 18:1/22:4,174802.082,36979.79658,161418.6297,55923.16551,199964.2383,156054.7584,141407.3664,160180.8542
PEP 18:1/22:5,49721.59549,8107.407483,39987.44208,13398.53162,53540.68822,30229.18105,31693.08133,34602.2765
PEP 18:1/22:6,29979.58863,6231.083211,19041.50122,7997.538972,32432.58125,20984.57033,16827.37418,20463.89384
PEP 18:2/18:2,1252.254901,765.2178161,1442.291728,14255.10336,1654.113722,1015.397861,4996.558621,8269.360527
PEP 18:2/20:4,8269.328486,2464.950631,9265.650352,2325.444558,14394.87715,10183.37995,6652.517528,8834.719074
PEP 18:2/22:6,1257.170381,324.4395984,1269.234008,237.0853816,1920.1856,1099.939047,663.8827633,795.0486096
LPG 16:0,171120.1376,242164.8971,171132.8023,223450.8657,160610.2923,115879.7386,265360.8421,163303.6252
LPG 18:2,149739.7837,253318.2425,179078.4769,211844.9482,144844.5631,119804.7012,155040.4361,158457.2453
LPG 18:3,1777.990798,3359.116461,2844.344178,2256.932252,2094.210572,1700.685196,1731.12533,2290.580394
LPG 20:1,10002.12821,11690.35382,8176.165752,10455.49927,5901.498933,8509.122966,12735.15857,10121.28531
LPG 20:3,17753.9149,20978.6418,14018.60077,24055.4685,16735.20646,13847.41699,17513.50691,18696.0766
PG 15:0/18:1,598113.5848,815002.0717,628049.1526,799803.3666,756994.0304,877085.587,826096.5143,834299.1066
